영업상태명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,영업,전라남도 목포시 옥암동 915-25번지 ,전라남도 목포시 옥암로 138 (옥암동),58657,편의점,147330.1593,146042.7035
영업/정상,영업,전라남도 목포시 용당동 1088-10 ,전라남도 목포시 영산로329번길 3 (용당동),58651,편의점,145141.1744,145436.4385
영업/정상,영업,전라남도 목포시 광동3가 1-6번지 외1필지 ,"전라남도 목포시 번화로 96-1 (광동3가,외1필지)",58752,다방,143938.1684,143611.5797
영업/정상,영업,전라남도 목포시 상동 848-3 ,전라남도 목포시 백년대로 339 (상동),58664,패스트푸드,147230.5704,145409.5486
영업/정상,영업,전라남도 목포시 죽교동 580-405번지 ,,,편의점,142649.3865,144852.6982
영업/정상,영업,전라남도 목포시 옥암동 1002-8번지 ,"전라남도 목포시 옥암로54번길 10, 나동 1층 (옥암동)",58685,다방,147763.4667,145262.0493
영업/정상,영업,"전라남도 목포시 용당동 1102-18번지 ,2층 ","전라남도 목포시 영산로 322-1 (용당동,,2층)",58700,커피숍,145094.9635,145377.1654
영업/정상,영업,전라남도 목포시 용당동 1044-37 ,전라남도 목포시 동부로 1 (용당동),58652,편의점,144583.5344,145226.9784
영업/정상,영업,전라남도 목포시 상동 897 ,"전라남도 목포시 백년대로274번길 7, 1층 (상동)",58696,편의점,146724.2224,144982.3309
영업/정상,영업,전라남도 목포시 서산동 19-26 ,"전라남도 목포시 해안로 93-1, 1층 (서산동)",58758,커피숍,142694.4473,142621.3788
영업/정상,영업,"전라남도 목포시 상동 1129-6 5층, 510호 ","전라남도 목포시 원형동로 53, 5층 510호 (상동)",58747,일반조리판매,148058.3144,144672.7938
영업/정상,영업,전라남도 목포시 용해동 982-3번지 ,"전라남도 목포시 포미로10번길 16, 1층 (용해동, 세븐일레븐 목포용해점)",58613,일반조리판매,144944.925,146591.7205
