순위,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
78,순천시,골프존카운티순천,전남 순천시 행정1길 77-0,레저스포츠,육상레저스포츠,20432
79,해남군,땅끝전망대,전남 해남군 땅끝마을길 100-0,문화관광,랜드마크관광,20327
80,해남군,파인비치골프링크스,전남 해남군 시아로 224-0,레저스포츠,육상레저스포츠,19992
81,여수시,여천역,전남 여수시 시청로 200-0,기타관광,교통시설,19680
82,무안군,무안시외버스터미널,전남 무안군 무안로 497-1,기타관광,교통시설,19360
83,강진군,강진버스여객터미널,전남 강진군 영랑로 35-0,기타관광,교통시설,19109
84,강진군,다산베아채CC,전남 강진군 학장용산길 101-0,레저스포츠,육상레저스포츠,18897
85,신안군,퍼플교,전남 신안군,기타관광,기타관광,18867
86,무안군,톱머리해변,전남 무안군,자연관광,자연경관(하천/해양),18815
87,순천시,순천아랫장,전남 순천시 장평로 60-0,쇼핑,시장,18591
88,함평군,함평엘리체CC,전남 함평군 서당매길 242-0,레저스포츠,육상레저스포츠,18551
89,무안군,무안국제공항,전남 무안군 공항로 970-260,기타관광,교통시설,18496
90,목포시,동부시장,전남 목포시,쇼핑,시장,18441
91,구례군,쌍산재,전남 구례군 장수길 3-2,역사관광,역사유적지,18405
